s0_level,global_index,value,degree,minimal_polynomial
1,1,1.176280818,10,1 + t - t^3 - t^4 - t^5 - t^6 - t^7 + t^9 + t^10
1,2,1.216391661,10,1 - t^4 - t^5 - t^6 + t^10
1,3,1.261230961,10,1 - t^2 - t^5 - t^8 + t^10
1,4,1.280638156,8,1 - t^3 - t^4 - t^5 + t^8
1,5,1.293485953,10,1 - t^2 - t^3 + t^5 - t^7 - t^8 + t^10
1,6,1.350980338,10,1 - t - t^4 + t^5 - t^6 - t^9 + t^10
1,7,1.359999712,8,1 - t + t^2 - 2*t^3 + t^4 - 2*t^5 + t^6 - t^7 + t^8
1,8,1.401268368,6,1 - t^2 - t^3 - t^4 + t^6
1,9,1.425005268,8,1 - t - t^3 + t^4 - t^5 - t^7 + t^8
1,10,1.431000959,10,1 - t - t^2 + t^3 - t^5 + t^7 - t^8 - t^9 + t^10
