s0_level,global_index,value,degree,minimal_polynomial
5,993,3.71946,10,1-3 t-2 t^2-3 t^3+t^4+3 t^5+t^6-3 t^7-2 t^8-3 t^9+t^10
5,998,3.72346,10,1-3 t-3 t^2+2 t^3-t^4-8 t^5-t^6+2 t^7-3 t^8-3 t^9+t^10
5,999,3.72385,10,1-3 t-2 t^2-2 t^3-2 t^4-2 t^6-2 t^7-2 t^8-3 t^9+t^10
5,1000,3.73205,2,1-4 t+t^2
5,1004,3.73556,10,1-2 t-6 t^2-3 t^3+3 t^4+5 t^5+3 t^6-3 t^7-6 t^8-2 t^9+t^10
5,1006,3.73641,10,1-3 t-3 t^2+t^3-t^5+t^7-3 t^8-3 t^9+t^10
5,1008,3.73663,10,1-3 t-4 t^2+5 t^3+t^4-9 t^5+t^6+5 t^7-4 t^8-3 t^9+t^10
5,1012,3.73763,10,1-4 t+t^2-2 t^4+7 t^5-2 t^6+t^8-4 t^9+t^10
5,1015,3.73842,10,1-4 t-t^2+8 t^3-9 t^5+8 t^7-t^8-4 t^9+t^10
5,1018,3.73957,10,1-5 t+5 t^2-t^3-t^5-t^7+5 t^8-5 t^9+t^10
5,1019,3.73968,10,1-5 t+5 t^2-2 t^3+6 t^4-11 t^5+6 t^6-2 t^7+5 t^8-5 t^9+t^10
5,1020,3.7419,10,1-6 t+10 t^2-4 t^3-11 t^4+19 t^5-11 t^6-4 t^7+10 t^8-6 t^9+t^10
5,1021,3.74331,8,1-2 t-4 t^2-7 t^3-7 t^4-7 t^5-4 t^6-2 t^7+t^8
5,1022,3.74627,8,1-3 t-t^2-6 t^3-t^4-6 t^5-t^6-3 t^7+t^8
5,1023,3.74706,8,1-3 t-2 t^2-2 t^3-3 t^4-2 t^5-2 t^6-3 t^7+t^8
5,1024,3.74727,8,1-3 t-2 t^2-3 t^3+t^4-3 t^5-2 t^6-3 t^7+t^8
5,1025,3.74842,8,1-3 t-3 t^2+3 t^4-3 t^6-3 t^7+t^8
5,1026,3.74968,10,1-3 t-3 t^2+2 t^4+2 t^5+2 t^6-3 t^8-3 t^9+t^10
5,1029,3.75134,8,1-4 t+2 t^2-5 t^3+5 t^4-5 t^5+2 t^6-4 t^7+t^8
5,1031,3.75243,8,1-4 t+t^2-t^4+t^6-4 t^7+t^8
5,1033,3.75321,8,1-4 t+t^2-2 t^3+7 t^4-2 t^5+t^6-4 t^7+t^8
5,1035,3.75441,8,1-2 t-4 t^2-7 t^3-8 t^4-7 t^5-4 t^6-2 t^7+t^8
5,1037,3.75605,8,1-5 t+7 t^2-11 t^3+11 t^4-11 t^5+7 t^6-5 t^7+t^8
5,1038,3.75774,8,1-5 t+6 t^2-6 t^3+5 t^4-6 t^5+6 t^6-5 t^7+t^8
5,1040,3.75901,8,1-5 t+5 t^2-5 t^4+5 t^6-5 t^7+t^8
5,1048,3.76535,8,1-2 t-4 t^2-7 t^3-9 t^4-7 t^5-4 t^6-2 t^7+t^8
5,1051,3.77006,8,1-4 t+2 t^2-5 t^3+4 t^4-5 t^5+2 t^6-4 t^7+t^8
5,1052,3.77144,8,1-4 t+t^2+t^3-6 t^4+t^5+t^6-4 t^7+t^8
5,1053,3.77176,10,1-3 t-3 t^2-t^3+4 t^4+3 t^5+4 t^6-t^7-3 t^8-3 t^9+t^10
5,1056,3.77365,8,1-4 t+t^2-2 t^3+6 t^4-2 t^5+t^6-4 t^7+t^8
5,1058,3.77415,10,1-3 t-3 t^2+t^3-t^4-6 t^5-t^6+t^7-3 t^8-3 t^9+t^10
5,1063,3.77913,8,1-5 t+7 t^2-11 t^3+10 t^4-11 t^5+7 t^6-5 t^7+t^8
5,1064,3.77997,8,1-3 t-3 t^2+t^4-3 t^6-3 t^7+t^8
5,1068,3.78349,8,1-5 t+6 t^2-7 t^3+8 t^4-7 t^5+6 t^6-5 t^7+t^8
5,1070,3.7847,6,1-3 t-t^2-7 t^3-t^4-3 t^5+t^6
5,1071,3.78602,8,1-5 t+5 t^2-t^3-2 t^4-t^5+5 t^6-5 t^7+t^8
5,1072,3.78627,10,1-4 t+t^2-t^3+t^4+t^6-t^7+t^8-4 t^9+t^10
5,1075,3.7878,10,1-2 t-6 t^2-5 t^3+5 t^4+10 t^5+5 t^6-5 t^7-6 t^8-2 t^9+t^10
5,1077,3.78883,10,1-3 t-3 t^2-t^3+2 t^4+7 t^5+2 t^6-t^7-3 t^8-3 t^9+t^10
5,1079,3.79127,8,1-4 t+t^2-3 t^4+t^6-4 t^7+t^8
5,1083,3.7938,10,1-2 t-4 t^2-8 t^3-7 t^4-9 t^5-7 t^6-8 t^7-4 t^8-2 t^9+t^10
5,1084,3.79416,8,1-2 t-6 t^2-3 t^3+t^4-3 t^5-6 t^6-2 t^7+t^8
5,1086,3.79549,8,1-6 t+12 t^2-18 t^3+20 t^4-18 t^5+12 t^6-6 t^7+t^8
5,1088,3.797,8,1-4 t+3 t^3-t^4+3 t^5-4 t^7+t^8
5,1089,3.79794,8,1-2 t-4 t^2-8 t^3-8 t^4-8 t^5-4 t^6-2 t^7+t^8
5,1090,3.79973,10,1-5 t+6 t^2-7 t^3+8 t^4-10 t^5+8 t^6-7 t^7+6 t^8-5 t^9+t^10
5,1094,3.80137,6,1-4 t+2 t^2-5 t^3+2 t^4-4 t^5+t^6
5,1095,3.80302,10,1-4 t+t^2-2 t^3+4 t^4-t^5+4 t^6-2 t^7+t^8-4 t^9+t^10
5,1096,3.80408,8,1-3 t-2 t^2-2 t^3-7 t^4-2 t^5-2 t^6-3 t^7+t^8
5,1097,3.80501,8,1-3 t-2 t^2-3 t^3-3 t^4-3 t^5-2 t^6-3 t^7+t^8
5,1099,3.80669,10,1-4 t+3 t^3-t^4+t^5-t^6+3 t^7-4 t^9+t^10
5,1100,3.80759,8,1-5 t+6 t^2-7 t^3+7 t^4-7 t^5+6 t^6-5 t^7+t^8
5,1105,3.81045,8,1-t-6 t^2-13 t^3-15 t^4-13 t^5-6 t^6-t^7+t^8
5,1108,3.81178,10,1-3 t-t^2-6 t^3-5 t^4-8 t^5-5 t^6-6 t^7-t^8-3 t^9+t^10
5,1110,3.81303,8,1-5 t+5 t^2-2 t^3+t^4-2 t^5+5 t^6-5 t^7+t^8
5,1112,3.81448,8,1-3 t-t^2-7 t^3-2 t^4-7 t^5-t^6-3 t^7+t^8
5,1116,3.82071,10,1-3 t-3 t^2-t^3+2 t^4-t^5+2 t^6-t^7-3 t^8-3 t^9+t^10
5,1120,3.82407,8,1-2 t-5 t^2-6 t^3-4 t^4-6 t^5-5 t^6-2 t^7+t^8
5,1121,3.82407,10,1-5 t+5 t^2-t^3-6 t^4+11 t^5-6 t^6-t^7+5 t^8-5 t^9+t^10
5,1123,3.82522,10,1-5 t+5 t^2-2 t^3+t^5-2 t^7+5 t^8-5 t^9+t^10
5,1125,3.8264,10,1-5 t+5 t^2-3 t^3+6 t^4-9 t^5+6 t^6-3 t^7+5 t^8-5 t^9+t^10
5,1126,3.82736,8,1-3 t-t^2-7 t^3-3 t^4-7 t^5-t^6-3 t^7+t^8
5,1127,3.82788,8,1-4 t+t^2-5 t^4+t^6-4 t^7+t^8
5,1128,3.82819,10,1-3 t-2 t^2-3 t^3-5 t^4-t^5-5 t^6-3 t^7-2 t^8-3 t^9+t^10
5,1129,3.82949,8,1-4 t+t^2-t^3-t^4-t^5+t^6-4 t^7+t^8
5,1130,3.83074,8,1-5 t+6 t^2-7 t^3+6 t^4-7 t^5+6 t^6-5 t^7+t^8
5,1131,3.83115,8,1-4 t+t^2-2 t^3+3 t^4-2 t^5+t^6-4 t^7+t^8
5,1133,3.83221,8,1-3 t-2 t^2-3 t^3-5 t^4-3 t^5-2 t^6-3 t^7+t^8
5,1134,3.83286,6,1-5 t+5 t^2-3 t^3+5 t^4-5 t^5+t^6
5,1136,3.83482,8,1-2 t-5 t^2-6 t^3-5 t^4-6 t^5-5 t^6-2 t^7+t^8
5,1137,3.83664,8,1-4 t+3 t^3-3 t^4+3 t^5-4 t^7+t^8
5,1139,3.83854,8,1-4 t+2 t^3+t^4+2 t^5-4 t^7+t^8
5,1140,3.84002,6,1-3 t-2 t^2-4 t^3-2 t^4-3 t^5+t^6
5,1141,3.84037,8,1-3 t-3 t^2-t^3+t^4-t^5-3 t^6-3 t^7+t^8
5,1142,3.84083,10,1-4 t+t^2-t^3-2 t^4+t^5-2 t^6-t^7+t^8-4 t^9+t^10
5,1143,3.84153,10,1-3 t-4 t^2+3 t^3+t^4-5 t^5+t^6+3 t^7-4 t^8-3 t^9+t^10
5,1144,3.84171,8,1-4 t+2 t^2-6 t^3+4 t^4-6 t^5+2 t^6-4 t^7+t^8
