s0_level,global_index,value,degree,minimal_polynomial
4,270,2.822089704,10, 1 - 2*t - 3*t^2 + t^3 + 2*t^4 + t^5 + 2*t^6 + t^7 - 3*t^8 - 2*t^9 + t^10
4,271,2.822576302,10, 1 - t - 3*t^2 - 4*t^3 - 4*t^4 - 3*t^5 - 4*t^6 - 4*t^7 - 3*t^8 - t^9 + t^10
4,272,2.823201932,6, 1 - 2*t - 2*t^2 - 2*t^4 - 2*t^5 + t^6
4,273,2.827643711,10, 1 - 3*t + 2*t^3 - t^4 - 2*t^5 - t^6 + 2*t^7 - 3*t^9 + t^10
4,275,2.830830614,8, 1 - 3*t + t^2 - t^3 - t^4 - t^5 + t^6 - 3*t^7 + t^8
4,276,2.83633317,8, 1 - 4*t + 5*t^2 - 6*t^3 + 5*t^4 - 6*t^5 + 5*t^6 - 4*t^7 + t^8
4,277,2.841186126,10, 1 - 3*t + t^3 + t^4 - t^5 + t^6 + t^7 - 3*t^9 + t^10
4,278,2.841484578,10, 1 - 4*t + 3*t^2 + 2*t^3 - 4*t^4 + 3*t^5 - 4*t^6 + 2*t^7 + 3*t^8 - 4*t^9 + t^10
4,279,2.844602647,8, 1 - t - 3*t^2 - 4*t^3 - 5*t^4 - 4*t^5 - 3*t^6 - t^7 + t^8
4,280,2.844852039,10, 1 - 3*t + t^2 - 3*t^3 + 4*t^4 - t^5 + 4*t^6 - 3*t^7 + t^8 - 3*t^9 + t^10
4,281,2.847506836,6, 1 - 4*t + 4*t^2 - 3*t^3 + 4*t^4 - 4*t^5 + t^6
4,282,2.850520463,10, 1 - 3*t + t^2 - 2*t^3 + t^4 + t^6 - 2*t^7 + t^8 - 3*t^9 + t^10
4,283,2.852713806,8, 1 - 2*t - 2*t^2 - t^3 - t^5 - 2*t^6 - 2*t^7 + t^8
4,284,2.853765665,8, 1 - 3*t + 2*t^2 - 5*t^3 + 3*t^4 - 5*t^5 + 2*t^6 - 3*t^7 + t^8
4,285,2.856762573,8, 1 - 2*t - t^2 - 3*t^3 - 2*t^4 - 3*t^5 - t^6 - 2*t^7 + t^8
4,287,2.862236702,8, 1 - 4*t + 4*t^2 - 2*t^3 - 2*t^5 + 4*t^6 - 4*t^7 + t^8
4,288,2.865318388,6, 1 - 3*t + 2*t^2 - 5*t^3 + 2*t^4 - 3*t^5 + t^6
4,289,2.868452901,8, 1 - 3*t + t^3 + t^5 - 3*t^7 + t^8
4,290,2.871793325,8, 1 - 3*t + t^2 - t^3 - 2*t^4 - t^5 + t^6 - 3*t^7 + t^8
4,291,2.87373083,10, 1 - 2*t - 3*t^2 + 2*t^3 - 5*t^5 + 2*t^7 - 3*t^8 - 2*t^9 + t^10
4,292,2.874905825,8, 1 - 4*t^2 - 8*t^3 - 9*t^4 - 8*t^5 - 4*t^6 + t^8
4,294,2.878932484,8, 1 - 3*t + 3*t^4 - 3*t^7 + t^8
4,295,2.880684537,8, 1 - 3*t + t^2 - 2*t^3 + t^4 - 2*t^5 + t^6 - 3*t^7 + t^8
4,296,2.881707999,10, 1 - 3*t + t^3 - t^4 + 3*t^5 - t^6 + t^7 - 3*t^9 + t^10
4,297,2.883114683,8, 1 - 2*t - 2*t^2 - t^3 - t^4 - t^5 - 2*t^6 - 2*t^7 + t^8
