s0_level,index,value,degree,minimal_polynomial
3,76,2.20113,6,1-2 t-t^2+2 t^3-t^4-2 t^5+t^6
3,77,2.20346,10,1-2 t-t^2+t^3+t^5+t^7-t^8-2 t^9+t^10
3,78,2.20647,8,1-2 t-t^2+3 t^4-t^6-2 t^7+t^8
3,79,2.21982,10,1-3 t+2 t^2-3 t^4+5 t^5-3 t^6+2 t^8-3 t^9+t^10
3,80,2.22587,6,1-3 t+2 t^2-t^3+2 t^4-3 t^5+t^6
3,81,2.22747,8,1-t-t^2-2 t^3-3 t^4-2 t^5-t^6-t^7+t^8
3,82,2.22879,10,1-t-3 t^2-t^3+2 t^4+3 t^5+2 t^6-t^7-3 t^8-t^9+t^10
3,83,2.23749,8,1-2 t-t^2+t^3+t^5-t^6-2 t^7+t^8
3,84,2.2389,8,1-2 t^2-4 t^3-4 t^4-4 t^5-2 t^6+t^8
3,85,2.24275,8,1-3 t+2 t^2-t^3+t^4-t^5+2 t^6-3 t^7+t^8
3,86,2.24781,10,1-t-2 t^2-t^3-t^4-t^5-t^6-t^7-2 t^8-t^9+t^10
3,87,2.24885,8,1-2 t-t^3-t^5-2 t^7+t^8
3,88,2.25119,8,1-t-2 t^2-t^3-t^4-t^5-2 t^6-t^7+t^8
3,89,2.25646,6,1-2 t-t^3-2 t^5+t^6
3,90,2.27019,10,1-3 t+t^2+2 t^3-3 t^5+2 t^7+t^8-3 t^9+t^10
3,91,2.27501,10,1-2 t-2 t^3+2 t^4-2 t^5+2 t^6-2 t^7-2 t^9+t^10
3,92,2.27671,8,1-3 t+2 t^2-2 t^4+2 t^6-3 t^7+t^8
3,93,2.27965,10,1-2 t-t^2+2 t^4-t^5+2 t^6-t^8-2 t^9+t^10
3,94,2.28496,10,1-t-t^2-2 t^3-3 t^4-4 t^5-3 t^6-2 t^7-t^8-t^9+t^10
3,95,2.29663,4,1-2 t-2 t^3+t^4
3,96,2.29949,10,1-2 t-2 t^2+3 t^3+t^4-3 t^5+t^6+3 t^7-2 t^8-2 t^9+t^10
3,97,2.30812,10,1-2 t^2-4 t^3-5 t^4-5 t^5-5 t^6-4 t^7-2 t^8+t^10
3,98,2.31293,8,1-2 t-t^3-t^4-t^5-2 t^7+t^8
3,99,2.31344,10,1-2 t-t^2+t^3-2 t^5+t^7-t^8-2 t^9+t^10
3,100,2.31623,8,1-2 t-t^2+t^3-t^4+t^5-t^6-2 t^7+t^8
3,101,2.31877,10,1-3 t+2 t^2-t^3-t^4+3 t^5-t^6-t^7+2 t^8-3 t^9+t^10
3,102,2.3229,10,1-t-3 t^2-2 t^3+2 t^4+5 t^5+2 t^6-2 t^7-3 t^8-t^9+t^10
3,103,2.32683,8,1-3 t+2 t^2-2 t^3+3 t^4-2 t^5+2 t^6-3 t^7+t^8
3,104,2.32857,8,1-t-2 t^2-2 t^3-2 t^5-2 t^6-t^7+t^8
3,105,2.33184,10,1-2 t-t^2+3 t^5-t^8-2 t^9+t^10
3,106,2.33408,8,1-t-t^2-3 t^3-3 t^4-3 t^5-t^6-t^7+t^8
3,107,2.33592,8,1-4 t+6 t^2-7 t^3+7 t^4-7 t^5+6 t^6-4 t^7+t^8
3,108,2.34473,10,1-3 t+2 t^2-2 t^3+3 t^4-3 t^5+3 t^6-2 t^7+2 t^8-3 t^9+t^10
3,109,2.34889,8,1-2 t+t^2-4 t^3+t^4-4 t^5+t^6-2 t^7+t^8
3,110,2.35022,8,1-3 t+2 t^2-t^3-t^5+2 t^6-3 t^7+t^8
3,111,2.35747,8,1-2 t-2 t^3+t^4-2 t^5-2 t^7+t^8
3,112,2.36921,4,1-t-3 t^2-t^3+t^4
3,113,2.38215,6,1-4 t+6 t^2-7 t^3+6 t^4-4 t^5+t^6
3,114,2.39131,8,1-3 t+t^2+2 t^3-3 t^4+2 t^5+t^6-3 t^7+t^8
3,115,2.3963,6,1-2 t-2 t^3-2 t^5+t^6
3,116,2.39924,10,1-2 t-t^2-t^3+2 t^4+t^5+2 t^6-t^7-t^8-2 t^9+t^10
3,117,2.40331,10,1-2 t-t^3-3 t^4+t^5-3 t^6-t^7-2 t^9+t^10
3,118,2.40604,8,1-3 t+2 t^2-3 t^3+5 t^4-3 t^5+2 t^6-3 t^7+t^8
3,119,2.40694,8,1-t-2 t^2-2 t^3-2 t^4-2 t^5-2 t^6-t^7+t^8
3,120,2.41123,8,1-2 t-2 t^3-2 t^5-2 t^7+t^8
3,121,2.41298,8,1-t-3 t^2-t^3+t^4-t^5-3 t^6-t^7+t^8
3,122,2.41715,10,1-2 t-t^2-t^8-2 t^9+t^10
3,123,2.41965,8,1-2 t-t^3-3 t^4-t^5-2 t^7+t^8
3,124,2.42709,10,1-2 t-2 t^2+2 t^3+t^4-t^5+t^6+2 t^7-2 t^8-2 t^9+t^10
3,125,2.42868,10,1-4 t+5 t^2-3 t^3+t^5-3 t^7+5 t^8-4 t^9+t^10
3,126,2.42881,8,1-t-t^2-4 t^3-3 t^4-4 t^5-t^6-t^7+t^8
3,127,2.43086,8,1-2 t-t^2-t^6-2 t^7+t^8
3,128,2.43398,8,1-3 t+2 t^2-t^3-t^4-t^5+2 t^6-3 t^7+t^8
3,129,2.4375,8,1-4 t+6 t^2-8 t^3+9 t^4-8 t^5+6 t^6-4 t^7+t^8
3,130,2.43809,10,1-t-3 t^2-t^3-t^5-t^7-3 t^8-t^9+t^10
3,131,2.44151,10,1-t-2 t^2-2 t^3-2 t^4-4 t^5-2 t^6-2 t^7-2 t^8-t^9+t^10
3,132,2.44222,8,1-t-2 t^2-2 t^3-3 t^4-2 t^5-2 t^6-t^7+t^8
3,133,2.44792,8,1-2 t-2 t^2+t^3+3 t^4+t^5-2 t^6-2 t^7+t^8
3,134,2.45052,10,1-2 t-2 t^3-t^4-t^5-t^6-2 t^7-2 t^9+t^10
3,135,2.45317,6,1-3 t+2 t^2-2 t^3+2 t^4-3 t^5+t^6
3,136,2.45963,6,1-t-2 t^2-3 t^3-2 t^4-t^5+t^6
3,137,2.46306,10,1-3 t^2-5 t^3-4 t^4-3 t^5-4 t^6-5 t^7-3 t^8+t^10
3,138,2.4714,8,1-t-2 t^2-3 t^3-t^4-3 t^5-2 t^6-t^7+t^8
3,139,2.47171,8,1-3 t+t^2+t^3-t^4+t^5+t^6-3 t^7+t^8
3,140,2.47541,6,1-3 t+3 t^2-5 t^3+3 t^4-3 t^5+t^6
3,141,2.47889,8,1-2 t-t^2-t^3+2 t^4-t^5-t^6-2 t^7+t^8
3,142,2.48181,8,1-3 t+t^2+2 t^3-4 t^4+2 t^5+t^6-3 t^7+t^8
3,143,2.48494,8,1-2 t-t^2-t^4-t^6-2 t^7+t^8
3,144,2.48954,8,1-3 t+2 t^2-3 t^3+4 t^4-3 t^5+2 t^6-3 t^7+t^8
3,145,2.49174,8,1-3 t^2-5 t^3-5 t^4-5 t^5-3 t^6+t^8
3,146,2.49236,10,1-3 t+2 t^2-3 t^3+3 t^4-t^5+3 t^6-3 t^7+2 t^8-3 t^9+t^10
