s0_level,index,value,degree,minimal_polynomial
3,286,2.85858,8,1-3 t+2 t^3-3 t^4+2 t^5-3 t^7+t^8
4,287,2.86224,8,1-4 t+4 t^2-2 t^3-2 t^5+4 t^6-4 t^7+t^8
4,288,2.86532,6,1-3 t+2 t^2-5 t^3+2 t^4-3 t^5+t^6
4,289,2.86845,8,1-3 t+t^3+t^5-3 t^7+t^8
4,290,2.87179,8,1-3 t+t^2-t^3-2 t^4-t^5+t^6-3 t^7+t^8
4,291,2.87373,10,1-2 t-3 t^2+2 t^3-5 t^5+2 t^7-3 t^8-2 t^9+t^10
4,292,2.87491,8,1-4 t^2-8 t^3-9 t^4-8 t^5-4 t^6+t^8
3,293,2.87561,8,1-4 t+4 t^2-3 t^3+3 t^4-3 t^5+4 t^6-4 t^7+t^8
4,294,2.87893,8,1-3 t+3 t^4-3 t^7+t^8
4,295,2.88068,8,1-3 t+t^2-2 t^3+t^4-2 t^5+t^6-3 t^7+t^8
4,296,2.88171,10,1-3 t+t^3-t^4+3 t^5-t^6+t^7-3 t^9+t^10
4,297,2.88311,8,1-2 t-2 t^2-t^3-t^4-t^5-2 t^6-2 t^7+t^8
4,298,2.88384,8,1-2 t-t^2-3 t^3-3 t^4-3 t^5-t^6-2 t^7+t^8
4,299,2.89005,4,1-2 t-2 t^2-2 t^3+t^4
4,300,2.89515,10,1-4 t^2-8 t^3-9 t^4-9 t^5-9 t^6-8 t^7-4 t^8+t^10
4,301,2.89921,10,1-t-5 t^2-4 t^3+4 t^4+9 t^5+4 t^6-4 t^7-5 t^8-t^9+t^10
4,302,2.90042,10,1-2 t-2 t^2-2 t^3+t^4-t^5+t^6-2 t^7-2 t^8-2 t^9+t^10
4,303,2.90198,10,1-2 t-3 t^2+2 t^4+3 t^5+2 t^6-3 t^8-2 t^9+t^10
4,304,2.90244,6,1-5 t+9 t^2-11 t^3+9 t^4-5 t^5+t^6
3,305,2.90716,10,1-3 t-t^2+4 t^3-3 t^5+4 t^7-t^8-3 t^9+t^10
4,306,2.90975,6,1-2 t-2 t^2-t^3-2 t^4-2 t^5+t^6
4,307,2.91194,8,1-2 t-2 t^2-t^3-2 t^4-t^5-2 t^6-2 t^7+t^8
4,308,2.91307,8,1-3 t+t^3-t^4+t^5-3 t^7+t^8
4,309,2.91514,10,1-3 t+t^2-t^3-4 t^4+3 t^5-4 t^6-t^7+t^8-3 t^9+t^10
4,310,2.91628,8,1-2 t-t^2-4 t^3-t^4-4 t^5-t^6-2 t^7+t^8
3,311,2.91925,6,1-3 t+t^3-3 t^5+t^6
4,312,2.92295,8,1-2 t-3 t^2+3 t^4-3 t^6-2 t^7+t^8
4,313,2.92409,8,1-3 t+2 t^2-5 t^3+t^4-5 t^5+2 t^6-3 t^7+t^8
4,314,2.92427,8,1-3 t+2 t^4-3 t^7+t^8
4,315,2.92625,10,1-t-4 t^2-3 t^3-3 t^4-5 t^5-3 t^6-3 t^7-4 t^8-t^9+t^10
4,316,2.9267,10,1-3 t+t^3-t^4-t^6+t^7-3 t^9+t^10
4,317,2.92887,8,1-t-3 t^2-5 t^3-6 t^4-5 t^5-3 t^6-t^7+t^8
4,318,2.92921,8,1-3 t+t^2-3 t^3+3 t^4-3 t^5+t^6-3 t^7+t^8
4,319,2.92939,10,1-4 t+4 t^2-3 t^3+t^4+t^5+t^6-3 t^7+4 t^8-4 t^9+t^10
4,320,2.93144,10,1-4 t+4 t^2-2 t^3-2 t^4+2 t^5-2 t^6-2 t^7+4 t^8-4 t^9+t^10
4,321,2.93357,10,1-4 t+3 t^2+t^3-2 t^4+t^5-2 t^6+t^7+3 t^8-4 t^9+t^10
4,322,2.93374,8,1-4 t+4 t^2-3 t^3+2 t^4-3 t^5+4 t^6-4 t^7+t^8
4,323,2.9356,10,1-2 t-3 t^2+2 t^4+2 t^6-3 t^8-2 t^9+t^10
4,324,2.93606,8,1-3 t-t^3+5 t^4-t^5-3 t^7+t^8
4,325,2.93701,10,1-3 t-2 t^2+7 t^3+t^4-9 t^5+t^6+7 t^7-2 t^8-3 t^9+t^10
4,326,2.93937,8,1-2 t-2 t^2-t^3-3 t^4-t^5-2 t^6-2 t^7+t^8
4,327,2.94014,10,1-2 t-2 t^2-t^3-2 t^4-4 t^5-2 t^6-t^7-2 t^8-2 t^9+t^10
4,328,2.94142,8,1-2 t-t^2-4 t^3-2 t^4-4 t^5-t^6-2 t^7+t^8
4,329,2.94341,10,1-3 t+t^4+t^5+t^6-3 t^9+t^10
4,330,2.94393,10,1-2 t-3 t^2+t^3-3 t^5+t^7-3 t^8-2 t^9+t^10
4,331,2.94437,8,1-5 t+9 t^2-12 t^3+13 t^4-12 t^5+9 t^6-5 t^7+t^8
4,332,2.94699,8,1-2 t-2 t^2-2 t^3-2 t^5-2 t^6-2 t^7+t^8
4,333,2.94747,8,1-t-3 t^2-5 t^3-7 t^4-5 t^5-3 t^6-t^7+t^8
4,334,2.94917,8,1-4 t+4 t^2-4 t^3+5 t^4-4 t^5+4 t^6-4 t^7+t^8
4,335,2.95161,8,1-4 t+5 t^2-7 t^3+6 t^4-7 t^5+5 t^6-4 t^7+t^8
4,336,2.95173,8,1-4 t^2-9 t^3-11 t^4-9 t^5-4 t^6+t^8
4,337,2.95386,6,1-3 t-t^2+4 t^3-t^4-3 t^5+t^6
4,338,2.95516,8,1-3 t+t^2-2 t^3-t^4-2 t^5+t^6-3 t^7+t^8
4,339,2.95779,8,1-t-4 t^2-4 t^3-2 t^4-4 t^5-4 t^6-t^7+t^8
4,340,2.96678,10,1-3 t+2 t^4-4 t^5+2 t^6-3 t^9+t^10
4,341,2.96739,10,1-4 t+3 t^2+2 t^4-5 t^5+2 t^6+3 t^8-4 t^9+t^10
4,342,2.97082,8,1-4 t+3 t^2+t^3-3 t^4+t^5+3 t^6-4 t^7+t^8
4,343,2.97215,10,1-t-4 t^2-4 t^3-3 t^4-3 t^5-3 t^6-4 t^7-4 t^8-t^9+t^10
4,344,2.97245,8,1-5 t+8 t^2-7 t^3+5 t^4-7 t^5+8 t^6-5 t^7+t^8
4,345,2.97327,10,1-2 t-t^2-3 t^3-6 t^4-3 t^5-6 t^6-3 t^7-t^8-2 t^9+t^10
4,346,2.97346,8,1-2 t-2 t^2-2 t^3-t^4-2 t^5-2 t^6-2 t^7+t^8
4,347,2.97595,10,1-2 t-3 t^2-t^3+2 t^4+5 t^5+2 t^6-t^7-3 t^8-2 t^9+t^10
4,348,2.97734,8,1-t-4 t^2-4 t^3-3 t^4-4 t^5-4 t^6-t^7+t^8
4,349,2.97783,8,1-3 t-t^3+4 t^4-t^5-3 t^7+t^8
4,350,2.97903,10,1-3 t-t^4+5 t^5-t^6-3 t^9+t^10
4,351,2.98127,10,1-4 t+5 t^2-8 t^3+9 t^4-10 t^5+9 t^6-8 t^7+5 t^8-4 t^9+t^10
4,352,2.98307,8,1-2 t-3 t^2+t^4-3 t^6-2 t^7+t^8
4,353,2.98468,10,1-4 t+3 t^2+t^3-4 t^4+5 t^5-4 t^6+t^7+3 t^8-4 t^9+t^10
4,354,2.98519,8,1-4 t+4 t^2-3 t^3+t^4-3 t^5+4 t^6-4 t^7+t^8
4,355,2.98528,10,1-t-5 t^2-4 t^3+2 t^4+5 t^5+2 t^6-4 t^7-5 t^8-t^9+t^10
4,356,2.98882,6,1-2 t-2 t^2-2 t^3-2 t^4-2 t^5+t^6
4,357,2.99155,8,1-3 t+t^3-3 t^4+t^5-3 t^7+t^8
4,358,2.99632,6,1-3 t+t^2-3 t^3+t^4-3 t^5+t^6
4,359,2.99878,8,1-2 t-2 t^2-2 t^3-2 t^4-2 t^5-2 t^6-2 t^7+t^8
4,360,2.99944,10,1-2 t-4 t^2+2 t^3+3 t^4-t^5+3 t^6+2 t^7-4 t^8-2 t^9+t^10
4,361,2.99959,8,1-3 t+t^2-3 t^3+t^4-3 t^5+t^6-3 t^7+t^8
4,362,2.99986,10,1-2 t-2 t^2-2 t^3-2 t^4-2 t^5-2 t^6-2 t^7-2 t^8-2 t^9+t^10
4,363,3.00122,8,1-4 t+4 t^2-4 t^3+4 t^4-4 t^5+4 t^6-4 t^7+t^8
4,364,3.00363,8,1-3 t-3 t^7+t^8
4,365,3.0055,8,1-2 t-4 t^2+t^3+6 t^4+t^5-4 t^6-2 t^7+t^8
4,366,3.00616,8,1-t-3 t^2-6 t^3-7 t^4-6 t^5-3 t^6-t^7+t^8
4,367,3.01011,10,1-3 t-t^2+3 t^3-t^5+3 t^7-t^8-3 t^9+t^10
4,368,3.01033,10,1-2 t-3 t^2-t^5-3 t^8-2 t^9+t^10
4,369,3.01078,6,1-4 t+4 t^2-4 t^3+4 t^4-4 t^5+t^6
4,370,3.0126,10,1-5 t+8 t^2-7 t^3+3 t^4-t^5+3 t^6-7 t^7+8 t^8-5 t^9+t^10
4,371,3.01622,8,1-3 t-t^3+3 t^4-t^5-3 t^7+t^8
4,372,3.01667,10,1-3 t-t^4+2 t^5-t^6-3 t^9+t^10
4,373,3.01697,10,1-t-4 t^2-5 t^3-3 t^4-t^5-3 t^6-5 t^7-4 t^8-t^9+t^10
4,374,3.01809,8,1-4 t+4 t^2-5 t^3+7 t^4-5 t^5+4 t^6-4 t^7+t^8
4,375,3.01893,8,1-2 t-t^2-5 t^3-2 t^4-5 t^5-t^6-2 t^7+t^8
4,376,3.0202,8,1-2 t-3 t^2-t^3+3 t^4-t^5-3 t^6-2 t^7+t^8
4,377,3.02307,6,1-t-4 t^2-5 t^3-4 t^4-t^5+t^6
4,378,3.02429,8,1-4 t+3 t^2+t^3-4 t^4+t^5+3 t^6-4 t^7+t^8
4,379,3.02666,8,1-3 t+t^3-4 t^4+t^5-3 t^7+t^8
4,380,3.03031,10,1-4 t+2 t^2+4 t^3-3 t^4-t^5-3 t^6+4 t^7+2 t^8-4 t^9+t^10
4,381,3.03161,6,1-3 t-3 t^5+t^6
4,382,3.03259,8,1-5 t+9 t^2-13 t^3+15 t^4-13 t^5+9 t^6-5 t^7+t^8
4,383,3.03501,10,1-4 t+4 t^2-5 t^3+7 t^4-7 t^5+7 t^6-5 t^7+4 t^8-4 t^9+t^10
4,384,3.0352,10,1-3 t-t^3+t^4+3 t^5+t^6-t^7-3 t^9+t^10
4,385,3.03619,8,1-2 t-4 t^2+t^3+5 t^4+t^5-4 t^6-2 t^7+t^8
4,386,3.03902,8,1-3 t-t^4-3 t^7+t^8
4,387,3.04077,8,1-2 t-t^2-5 t^3-3 t^4-5 t^5-t^6-2 t^7+t^8
4,388,3.04264,8,1-4 t+3 t^2-t^4+3 t^6-4 t^7+t^8
4,389,3.04306,8,1-3 t+t^2-4 t^3+3 t^4-4 t^5+t^6-3 t^7+t^8
4,390,3.04565,10,1-3 t-2 t^2+6 t^3+t^4-7 t^5+t^6+6 t^7-2 t^8-3 t^9+t^10
4,391,3.04642,8,1-2 t-2 t^2-2 t^3-4 t^4-2 t^5-2 t^6-2 t^7+t^8
4,392,3.04678,8,1-2 t-3 t^2-t^3+2 t^4-t^5-3 t^6-2 t^7+t^8
4,393,3.04799,8,1-4 t+4 t^2-4 t^3+3 t^4-4 t^5+4 t^6-4 t^7+t^8
4,394,3.04857,10,1-3 t-t^2+3 t^3-4 t^5+3 t^7-t^8-3 t^9+t^10
4,395,3.05184,8,1-3 t-t^3+2 t^4-t^5-3 t^7+t^8
4,396,3.05225,8,1-4 t+5 t^2-8 t^3+7 t^4-8 t^5+5 t^6-4 t^7+t^8
4,397,3.05405,10,1-3 t-t^3+2 t^4-2 t^5+2 t^6-t^7-3 t^9+t^10
4,398,3.05513,8,1-2 t-2 t^2-3 t^3-t^4-3 t^5-2 t^6-2 t^7+t^8
4,399,3.05679,8,1-t-4 t^2-5 t^3-4 t^4-5 t^5-4 t^6-t^7+t^8
4,400,3.0573,10,1-2 t-2 t^2-3 t^3-2 t^4-2 t^6-3 t^7-2 t^8-2 t^9+t^10
4,401,3.0596,8,1-3 t+t^3-5 t^4+t^5-3 t^7+t^8
4,402,3.06189,6,1-2 t-2 t^2-3 t^3-2 t^4-2 t^5+t^6
4,403,3.0627,8,1-3 t-t^2+2 t^3+t^4+2 t^5-t^6-3 t^7+t^8
4,404,3.06387,8,1-3 t+2 t^2-7 t^3+3 t^4-7 t^5+2 t^6-3 t^7+t^8
4,405,3.06513,6,1-4 t+3 t^2-t^3+3 t^4-4 t^5+t^6
4,406,3.06893,8,1-2 t-2 t^2-2 t^3-5 t^4-2 t^5-2 t^6-2 t^7+t^8
4,407,3.06912,10,1-3 t-t^2+2 t^3+2 t^4-3 t^5+2 t^6+2 t^7-t^8-3 t^9+t^10
4,408,3.0712,10,1-2 t-4 t^2+t^3+3 t^4+t^5+3 t^6+t^7-4 t^8-2 t^9+t^10
4,409,3.07127,10,1-2 t-3 t^2-2 t^3+2 t^4+4 t^5+2 t^6-2 t^7-3 t^8-2 t^9+t^10
4,410,3.07216,6,1-3 t-t^2+3 t^3-t^4-3 t^5+t^6
4,411,3.07354,8,1-3 t+t^2-4 t^3+2 t^4-4 t^5+t^6-3 t^7+t^8
4,412,3.07393,8,1-t-4 t^2-5 t^3-5 t^4-5 t^5-4 t^6-t^7+t^8
4,413,3.07777,6,1-t-4 t^2-6 t^3-4 t^4-t^5+t^6
4,414,3.08515,8,1-3 t-t^3+t^4-t^5-3 t^7+t^8
4,415,3.08632,10,1-2 t-3 t^2-3 t^3+4 t^4+5 t^5+4 t^6-3 t^7-3 t^8-2 t^9+t^10
4,416,3.09066,4,1-4 t+4 t^2-4 t^3+t^4
4,417,3.09327,10,1-4 t+3 t^2-t^3+2 t^4-3 t^5+2 t^6-t^7+3 t^8-4 t^9+t^10
4,418,3.0941,10,1-5 t+8 t^2-9 t^3+11 t^4-13 t^5+11 t^6-9 t^7+8 t^8-5 t^9+t^10
4,419,3.09646,8,1-2 t-3 t^2-t^3-t^5-3 t^6-2 t^7+t^8
4,420,3.09858,8,1-3 t-2 t^3+4 t^4-2 t^5-3 t^7+t^8
4,421,3.09962,8,1-2 t-2 t^2-3 t^3-3 t^4-3 t^5-2 t^6-2 t^7+t^8
4,422,3.1006,10,1-3 t-3 t^4+t^5-3 t^6-3 t^9+t^10
4,423,3.10216,10,1-3 t-t^2+2 t^3+t^5+2 t^7-t^8-3 t^9+t^10
4,424,3.10246,8,1-3 t+t^2-4 t^3+t^4-4 t^5+t^6-3 t^7+t^8
4,425,3.10337,8,1-3 t-3 t^4-3 t^7+t^8
4,426,3.10545,10,1-4 t+3 t^2-4 t^4+7 t^5-4 t^6+3 t^8-4 t^9+t^10
4,427,3.10793,8,1-4 t+4 t^2-5 t^3+5 t^4-5 t^5+4 t^6-4 t^7+t^8
4,428,3.10994,8,1-4 t+3 t^2-t^3+t^4-t^5+3 t^6-4 t^7+t^8
4,429,3.11062,8,1-2 t-t^2-6 t^3-3 t^4-6 t^5-t^6-2 t^7+t^8
4,430,3.11136,10,1-5 t+7 t^2-2 t^3-8 t^4+13 t^5-8 t^6-2 t^7+7 t^8-5 t^9+t^10
4,431,3.11275,8,1-t-5 t^2-4 t^3-t^4-4 t^5-5 t^6-t^7+t^8
4,432,3.11283,10,1-4 t+2 t^2+3 t^3-t^4-3 t^5-t^6+3 t^7+2 t^8-4 t^9+t^10
4,433,3.1144,8,1-3 t-t^2+t^3+3 t^4+t^5-t^6-3 t^7+t^8
4,434,3.11649,8,1-3 t-t^3-t^5-3 t^7+t^8
4,435,3.1198,8,1-2 t-3 t^2-t^3-t^4-t^5-3 t^6-2 t^7+t^8
4,436,3.12073,8,1-2 t-2 t^2-3 t^3-4 t^4-3 t^5-2 t^6-2 t^7+t^8
4,437,3.12588,8,1-4 t+4 t^2-6 t^3+8 t^4-6 t^5+4 t^6-4 t^7+t^8
4,438,3.13,4,1-2 t-3 t^2-2 t^3+t^4
4,439,3.13292,8,1-3 t-4 t^4-3 t^7+t^8
4,440,3.13334,8,1-3 t-t^2+2 t^3-t^4+2 t^5-t^6-3 t^7+t^8
4,441,3.13423,8,1-4 t+3 t^2-3 t^4+3 t^6-4 t^7+t^8
4,442,3.13441,10,1-3 t-2 t^3+2 t^4+2 t^6-2 t^7-3 t^9+t^10
4,443,3.1347,10,1-3 t-t^2+2 t^3-2 t^5+2 t^7-t^8-3 t^9+t^10
4,444,3.13642,10,1-t-6 t^2-5 t^3+5 t^4+11 t^5+5 t^6-5 t^7-6 t^8-t^9+t^10
4,445,3.13711,10,1-2 t-3 t^2-t^3-t^4-4 t^5-t^6-t^7-3 t^8-2 t^9+t^10
4,446,3.13826,10,1-2 t-4 t^2+3 t^4+3 t^5+3 t^6-4 t^8-2 t^9+t^10
4,447,3.14118,8,1-2 t-2 t^2-3 t^3-5 t^4-3 t^5-2 t^6-2 t^7+t^8
4,448,3.14157,10,1-3 t-2 t^2+5 t^3+t^4-5 t^5+t^6+5 t^7-2 t^8-3 t^9+t^10
4,449,3.14226,6,1-4 t+4 t^2-5 t^3+4 t^4-4 t^5+t^6
4,450,3.14295,10,1-4 t+4 t^2-6 t^3+7 t^4-5 t^5+7 t^6-6 t^7+4 t^8-4 t^9+t^10
4,451,3.14567,8,1-t-4 t^2-6 t^3-6 t^4-6 t^5-4 t^6-t^7+t^8
4,452,3.14612,8,1-3 t-t^3-t^4-t^5-3 t^7+t^8
4,453,3.14653,10,1-4 t+3 t^2-4 t^4+4 t^5-4 t^6+3 t^8-4 t^9+t^10
4,454,3.14733,8,1-4 t+4 t^2-5 t^3+4 t^4-5 t^5+4 t^6-4 t^7+t^8
4,455,3.14772,10,1-3 t-t^3-t^4-t^5-t^6-t^7-3 t^9+t^10
4,456,3.14846,8,1-3 t-t^2+t^3+2 t^4+t^5-t^6-3 t^7+t^8
4,457,3.14859,10,1-2 t-2 t^2-3 t^3-5 t^4-3 t^5-5 t^6-3 t^7-2 t^8-2 t^9+t^10
4,458,3.14967,8,1-5 t+8 t^2-9 t^3+9 t^4-9 t^5+8 t^6-5 t^7+t^8
4,459,3.15052,8,1-2 t-2 t^2-4 t^3-2 t^4-4 t^5-2 t^6-2 t^7+t^8
4,460,3.15253,8,1-2 t-3 t^2-2 t^3+t^4-2 t^5-3 t^6-2 t^7+t^8
4,461,3.15346,8,1-4 t+3 t^2-t^3-t^5+3 t^6-4 t^7+t^8
4,462,3.15497,8,1-2 t-4 t^2+4 t^4-4 t^6-2 t^7+t^8
4,463,3.15611,10,1-3 t-t^2+t^3+2 t^4-t^5+2 t^6+t^7-t^8-3 t^9+t^10
4,464,3.15631,8,1-3 t+t^2-4 t^3-t^4-4 t^5+t^6-3 t^7+t^8
4,465,3.15704,10,1-4 t+2 t^2+3 t^3-3 t^4+t^5-3 t^6+3 t^7+2 t^8-4 t^9+t^10
4,466,3.15969,8,1-3 t-2 t^3+2 t^4-2 t^5-3 t^7+t^8
4,467,3.161,6,1-2 t-3 t^2-t^3-3 t^4-2 t^5+t^6
4,468,3.16403,8,1-3 t-t^2+5 t^4-t^6-3 t^7+t^8
4,469,3.16494,10,1-t-5 t^2-5 t^3-2 t^4-t^5-2 t^6-5 t^7-5 t^8-t^9+t^10
4,470,3.16526,6,1-5 t+8 t^2-9 t^3+8 t^4-5 t^5+t^6
4,471,3.16865,8,1-3 t+t^2-5 t^3+2 t^4-5 t^5+t^6-3 t^7+t^8
4,472,3.17041,8,1-2 t-2 t^2-4 t^3-3 t^4-4 t^5-2 t^6-2 t^7+t^8
4,473,3.17337,8,1-4 t+3 t^2-2 t^3+3 t^4-2 t^5+3 t^6-4 t^7+t^8
4,474,3.17398,10,1-4 t+3 t^2-t^3-2 t^4+5 t^5-2 t^6-t^7+3 t^8-4 t^9+t^10
4,475,3.17407,10,1-3 t-t^3-3 t^4+3 t^5-3 t^6-t^7-3 t^9+t^10
4,476,3.176,6,1-3 t+t^2-5 t^3+t^4-3 t^5+t^6
4,477,3.17887,8,1-2 t-4 t^2+3 t^4-4 t^6-2 t^7+t^8
4,478,3.18033,10,1-2 t-2 t^2-4 t^3-3 t^4-5 t^5-3 t^6-4 t^7-2 t^8-2 t^9+t^10
4,479,3.18037,8,1-3 t-t^2+t^3+t^4+t^5-t^6-3 t^7+t^8
4,480,3.18394,8,1-4 t+4 t^2-5 t^3+3 t^4-5 t^5+4 t^6-4 t^7+t^8
4,481,3.18584,10,1-3 t-t^2+t^3+3 t^5+t^7-t^8-3 t^9+t^10
4,482,3.18786,8,1-3 t-2 t^3+t^4-2 t^5-3 t^7+t^8
4,483,3.18964,8,1-5 t+7 t^2-4 t^3+t^4-4 t^5+7 t^6-5 t^7+t^8
4,484,3.18972,8,1-2 t-2 t^2-4 t^3-4 t^4-4 t^5-2 t^6-2 t^7+t^8
4,485,3.19207,10,1-2 t-3 t^2-2 t^3-t^4-2 t^5-t^6-2 t^7-3 t^8-2 t^9+t^10
4,486,3.19258,10,1-4 t+3 t^2-t^3-t^4-t^6-t^7+3 t^8-4 t^9+t^10
4,487,3.19339,8,1-4 t+3 t^2-t^3-t^4-t^5+3 t^6-4 t^7+t^8
4,488,3.19392,6,1-2 t-2 t^2-5 t^3-2 t^4-2 t^5+t^6
4,489,3.19523,8,1-2 t-3 t^2-2 t^3-t^4-2 t^5-3 t^6-2 t^7+t^8
4,490,3.19588,8,1-3 t-t^2+4 t^4-t^6-3 t^7+t^8
4,491,3.20107,8,1-3 t-t^3-3 t^4-t^5-3 t^7+t^8
4,492,3.20133,10,1-2 t-4 t^2-t^3+3 t^4+5 t^5+3 t^6-t^7-4 t^8-2 t^9+t^10
4,493,3.20181,6,1-4 t+3 t^2-2 t^3+3 t^4-4 t^5+t^6
4,494,3.20216,10,1-4 t+3 t^2-2 t^3+2 t^4-t^5+2 t^6-2 t^7+3 t^8-4 t^9+t^10
4,495,3.20283,8,1-t-5 t^2-5 t^3-3 t^4-5 t^5-5 t^6-t^7+t^8
4,496,3.20479,8,1-4 t+2 t^2+3 t^3-5 t^4+3 t^5+2 t^6-4 t^7+t^8
4,497,3.20847,8,1-2 t-2 t^2-4 t^3-5 t^4-4 t^5-2 t^6-2 t^7+t^8
4,498,3.21044,8,1-3 t-t^2+t^3+t^5-t^6-3 t^7+t^8
4,499,3.21066,10,1-3 t-t^2+2 t^3-2 t^4-3 t^5-2 t^6+2 t^7-t^8-3 t^9+t^10
4,500,3.21174,8,1-5 t+9 t^2-14 t^3+15 t^4-14 t^5+9 t^6-5 t^7+t^8
5,501,3.21255,8,1-t-4 t^2-7 t^3-7 t^4-7 t^5-4 t^6-t^7+t^8
4,502,3.21311,8,1-4 t+3 t^2-2 t^3+2 t^4-2 t^5+3 t^6-4 t^7+t^8
4,503,3.21394,10,1-3 t-t^2+t^3+t^7-t^8-3 t^9+t^10
4,504,3.21469,8,1-3 t-2 t^3-2 t^5-3 t^7+t^8
4,505,3.21552,8,1-2 t-3 t^2-2 t^3-2 t^4-2 t^5-3 t^6-2 t^7+t^8
4,506,3.21818,6,1-3 t-2 t^3-3 t^5+t^6
4,507,3.21865,10,1-3 t-2 t^3-t^4+t^5-t^6-2 t^7-3 t^9+t^10
4,508,3.21997,10,1-2 t-4 t^2+t^4-t^5+t^6-4 t^8-2 t^9+t^10
4,509,3.22247,10,1-t-4 t^2-6 t^3-9 t^4-11 t^5-9 t^6-6 t^7-4 t^8-t^9+t^10
4,510,3.22672,6,1-2 t-3 t^2-2 t^3-3 t^4-2 t^5+t^6
4,511,3.22762,8,1-5 t+8 t^2-10 t^3+11 t^4-10 t^5+8 t^6-5 t^7+t^8
4,512,3.22799,10,1-3 t-2 t^2+4 t^3+t^4-3 t^5+t^6+4 t^7-2 t^8-3 t^9+t^10
4,513,3.22838,10,1-4 t+2 t^2+2 t^3-t^4-t^5-t^6+2 t^7+2 t^8-4 t^9+t^10
4,514,3.22864,8,1-3 t-3 t^3+3 t^4-3 t^5-3 t^7+t^8
4,515,3.23038,8,1-4 t+3 t^2-t^3-2 t^4-t^5+3 t^6-4 t^7+t^8
4,516,3.23146,10,1-5 t+7 t^2-5 t^3+4 t^4-5 t^5+4 t^6-5 t^7+7 t^8-5 t^9+t^10
4,517,3.23341,8,1-4 t+3 t^2-3 t^3+5 t^4-3 t^5+3 t^6-4 t^7+t^8
4,518,3.23519,8,1-2 t-3 t^2-2 t^3-3 t^4-2 t^5-3 t^6-2 t^7+t^8
4,519,3.23575,10,1-3 t-t^2+2 t^4+t^5+2 t^6-t^8-3 t^9+t^10
4,520,3.23598,8,1-4 t+4 t^2-6 t^3+5 t^4-6 t^5+4 t^6-4 t^7+t^8
4,521,3.23647,8,1-2 t-2 t^2-5 t^3-3 t^4-5 t^5-2 t^6-2 t^7+t^8
5,522,3.2389,8,1-3 t-t^2+t^3-t^4+t^5-t^6-3 t^7+t^8
4,523,3.24034,8,1-3 t-2 t^3-t^4-2 t^5-3 t^7+t^8
4,524,3.24268,10,1-5 t+7 t^2-4 t^3-2 t^4+5 t^5-2 t^6-4 t^7+7 t^8-5 t^9+t^10
4,525,3.24364,8,1-5 t^2-12 t^3-15 t^4-12 t^5-5 t^6+t^8
4,526,3.24488,8,1-4 t+2 t^2+3 t^3-6 t^4+3 t^5+2 t^6-4 t^7+t^8
4,527,3.24496,10,1-2 t-3 t^2-3 t^3-t^4-t^6-3 t^7-3 t^8-2 t^9+t^10
4,528,3.24582,8,1-2 t-3 t^2-3 t^3-3 t^5-3 t^6-2 t^7+t^8
4,529,3.24688,8,1-2 t-5 t^2+t^3+7 t^4+t^5-5 t^6-2 t^7+t^8
4,530,3.24991,8,1-4 t+3 t^2-2 t^3+t^4-2 t^5+3 t^6-4 t^7+t^8
4,531,3.25426,4,1-3 t-3 t^3+t^4
4,532,3.256,10,1-3 t-2 t^2+4 t^3+t^4-6 t^5+t^6+4 t^7-2 t^8-3 t^9+t^10
4,533,3.25684,8,1-2 t-4 t^2-t^3+3 t^4-t^5-4 t^6-2 t^7+t^8
4,534,3.25837,10,1-t-4 t^2-7 t^3-9 t^4-9 t^5-9 t^6-7 t^7-4 t^8-t^9+t^10
4,535,3.26097,10,1-2 t-4 t^2-2 t^3+3 t^4+7 t^5+3 t^6-2 t^7-4 t^8-2 t^9+t^10
4,536,3.26283,10,1-3 t-t^2+5 t^5-t^8-3 t^9+t^10
4,537,3.26491,6,1-3 t-t^2+t^3-t^4-3 t^5+t^6
4,538,3.26597,8,1-3 t-t^2+t^3-2 t^4+t^5-t^6-3 t^7+t^8
4,539,3.26611,10,1-4 t+2 t^2+2 t^3-3 t^4+3 t^5-3 t^6+2 t^7+2 t^8-4 t^9+t^10
4,540,3.26644,8,1-4 t+2 t^2+2 t^3-3 t^4+2 t^5+2 t^6-4 t^7+t^8
4,541,3.26813,8,1-4 t+4 t^2-6 t^3+4 t^4-6 t^5+4 t^6-4 t^7+t^8
4,542,3.26996,6,1-4 t+2 t^2+t^3+2 t^4-4 t^5+t^6
4,543,3.27161,8,1-2 t-2 t^2-5 t^3-5 t^4-5 t^5-2 t^6-2 t^7+t^8
4,544,3.27369,10,1-2 t-3 t^2-2 t^3-4 t^4-5 t^5-4 t^6-2 t^7-3 t^8-2 t^9+t^10
4,545,3.27408,8,1-5 t+8 t^2-10 t^3+10 t^4-10 t^5+8 t^6-5 t^7+t^8
4,546,3.27461,10,1-3 t-3 t^2+7 t^3+2 t^4-9 t^5+2 t^6+7 t^7-3 t^8-3 t^9+t^10
4,547,3.27624,10,1-2 t-4 t^2-t^3+t^4+t^5+t^6-t^7-4 t^8-2 t^9+t^10
4,548,3.27677,8,1-3 t+t^2-6 t^3+t^4-6 t^5+t^6-3 t^7+t^8
4,549,3.27738,8,1-2 t-4 t^2-t^3+2 t^4-t^5-4 t^6-2 t^7+t^8
4,550,3.27881,8,1-3 t-3 t^3+t^4-3 t^5-3 t^7+t^8
