s0_level,global_index,value,degree,minimal_polynomial
3,102,2.322898965,10, 1 - t - 3*t^2 - 2*t^3 + 2*t^4 + 5*t^5 + 2*t^6 - 2*t^7 - 3*t^8 - t^9 + t^10
3,103,2.32682877,8, 1 - 3*t + 2*t^2 - 2*t^3 + 3*t^4 - 2*t^5 + 2*t^6 - 3*t^7 + t^8
3,104,2.328567727,8, 1 - t - 2*t^2 - 2*t^3 - 2*t^5 - 2*t^6 - t^7 + t^8
3,105,2.331843334,10, 1 - 2*t - t^2 + 3*t^5 - t^8 - 2*t^9 + t^10
3,106,2.334078015,8, 1 - t - t^2 - 3*t^3 - 3*t^4 - 3*t^5 - t^6 - t^7 + t^8
3,107,2.33591764,8, 1 - 4*t + 6*t^2 - 7*t^3 + 7*t^4 - 7*t^5 + 6*t^6 - 4*t^7 + t^8
3,108,2.344725061,10, 1 - 3*t + 2*t^2 - 2*t^3 + 3*t^4 - 3*t^5 + 3*t^6 - 2*t^7 + 2*t^8 - 3*t^9 + t^10
3,109,2.34888987,8, 1 - 2*t + t^2 - 4*t^3 + t^4 - 4*t^5 + t^6 - 2*t^7 + t^8
3,110,2.350220945,8, 1 - 3*t + 2*t^2 - t^3 - t^5 + 2*t^6 - 3*t^7 + t^8
3,111,2.357469878,8, 1 - 2*t - 2*t^3 + t^4 - 2*t^5 - 2*t^7 + t^8
3,112,2.369205407,4, 1 - t - 3*t^2 - t^3 + t^4
3,113,2.382148652,6, 1 - 4*t + 6*t^2 - 7*t^3 + 6*t^4 - 4*t^5 + t^6
3,114,2.391314612,8, 1 - 3*t + t^2 + 2*t^3 - 3*t^4 + 2*t^5 + t^6 - 3*t^7 + t^8
3,115,2.396295741,6, 1 - 2*t - 2*t^3 - 2*t^5 + t^6
3,116,2.399239972,10, 1 - 2*t - t^2 - t^3 + 2*t^4 + t^5 + 2*t^6 - t^7 - t^8 - 2*t^9 + t^10
3,117,2.40330774,10, 1 - 2*t - t^3 - 3*t^4 + t^5 - 3*t^6 - t^7 - 2*t^9 + t^10
3,118,2.406043728,8, 1 - 3*t + 2*t^2 - 3*t^3 + 5*t^4 - 3*t^5 + 2*t^6 - 3*t^7 + t^8
3,119,2.406937134,8, 1 - t - 2*t^2 - 2*t^3 - 2*t^4 - 2*t^5 - 2*t^6 - t^7 + t^8
3,120,2.411228697,8, 1 - 2*t - 2*t^3 - 2*t^5 - 2*t^7 + t^8
